KODK
PIC
SAVA
AAPL
TSLA
NIO
GE
INO
WMB
PLAY
CCL
NOK
SAN
CLRO
SRNE
AAL
ORCL
FB
WKHS
VXRT
EPRT
BP
IBIO
SNAP
MFGP
BLNK
ABEO
X
GOLD
KGC
BHP
CUK
F
AMWL
MCS
BYND
AMD
PENN
DKNG
BABA
BHC
FSLY
CKPT
OXY
MSFT
WMT
AGEN
BAC
MRO
VALE
RDS.A
NVDA
DAL
MT
AZN
TS
UAL
NKLA
XERS
NCLH
PTON
CRDF
UN
SUMO
SBSW
BBVA
SBE
FCX
RKT
LLNW
RKDA
LI
NVS
LUV
CSCO
ERIC
SNE
VERU
PFE
AMZN
MARA
MU
MLHR
M
LAC
JD
C
GME
SPAQ
AKBA
SINT
SPPI
BUD
BA
T
HMY
MRNA
CEMI
GTX
FCEL
SONN
PEIX
RDS.B
CLDR
PLUG
TLRY
CLF
VBIV
IMAX
SQ
ET
TEF
INTC
RIOT
GRUB
OSTK
ZM
SPCE
JPM
KNDI
ACHV
WFC
BNTX
UL
ONEW
BBL
BCS
PRTY
ACB
DPHC
TOT
SAVE
HSBC
WORK
SHLL
NFLX
XOM
GM
MFAC
SNOA
RIGL
ADT
ROKU
AEG
MOMO
BB
EVFM
CAPR
MYO
WTRH
MIK
SNY
GFI
NLY
ASML
RCL
JAX
CRH
CNK
DVAX
AU
DB
GMHI
PDD
FMCI
PYPL
IPOB
AM
KZR
VVPR
FRO
JNCE
SOLO
APPS
DBX
BCRX
FTI
TSM
JMIA
HD
BIGC
SAP
TWTR
GILD
TRVN
MBT
SPG
AG
ETSY
AUY
AA
KHC
QRTEA
MGM
OPK
LOW
OBSV
GRAF
SIRI
ENPH
