AAPL
TSLA
NIO
GE
WMB
PLAY
CCL
NOK
SAN
AAL
ORCL
FB
BP
SNAP
X
GOLD
BHP
F
AMWL
MCS
BYND
AMD
PENN
BABA
BHC
FSLY
OXY
MSFT
WMT
AGEN
BAC
MRO
VALE
RDS.A
NVDA
DAL
AZN
UAL
NCLH
PTON
SUMO
BBVA
FCX
NVS
LUV
CSCO
ERIC
SNE
PFE
AMZN
MARA
MU
M
JD
C
GME
BUD
BA
T
MRNA
RDS.B
CLDR
TLRY
SQ
ET
TEF
INTC
GRUB
OSTK
ZM
JPM
WFC
UL
ACB
TOT
SAVE
HSBC
WORK
NFLX
XOM
GM
ADT
ROKU
AEG
MOMO
BB
MIK
NLY
ASML
RCL
CNK
DB
PDD
PYPL
FRO
APPS
DBX
FTI
JMIA
HD
SAP
TWTR
GILD
SPG
ETSY
AA
KHC
QRTEA
MGM
LOW
GRAF
SIRI
ENPH
